point_id,type,name,lat,lon
grid_0,grid,,28.099302,76.698159
grid_1,grid,,28.099302,76.899382
grid_2,grid,,28.099302,77.100604
grid_3,grid,,28.099302,77.301827
grid_4,grid,,28.099302,77.503049
grid_5,grid,,28.099302,77.704272
grid_6,grid,,28.260999,76.698159
grid_7,grid,,28.260999,76.899382
grid_8,grid,,28.260999,77.100604
grid_9,grid,,28.260999,77.301827
grid_10,grid,,28.260999,77.503049
grid_11,grid,,28.260999,77.704272
grid_12,grid,,28.422696,76.698159
grid_13,grid,,28.422696,76.899382
grid_14,grid,,28.422696,77.100604
grid_15,grid,,28.422696,77.301827
grid_16,grid,,28.422696,77.503049
grid_17,grid,,28.422696,77.704272
grid_18,grid,,28.584392,76.698159
grid_19,grid,,28.584392,76.899382
grid_20,grid,,28.584392,77.100604
grid_21,grid,,28.584392,77.301827
grid_22,grid,,28.584392,77.503049
grid_23,grid,,28.584392,77.704272
grid_24,grid,,28.746089,76.698159
grid_25,grid,,28.746089,76.899382
grid_26,grid,,28.746089,77.100604
grid_27,grid,,28.746089,77.301827
grid_28,grid,,28.746089,77.503049
grid_29,grid,,28.746089,77.704272
grid_30,grid,,28.907786,76.698159
grid_31,grid,,28.907786,76.899382
grid_32,grid,,28.907786,77.100604
grid_33,grid,,28.907786,77.301827
grid_34,grid,,28.907786,77.503049
grid_35,grid,,28.907786,77.704272
city_Delhi,city_center,Delhi,28.7041,77.1025
city_Faridabad,city_center,Faridabad,28.4089,77.3178
city_Ghaziabad,city_center,Ghaziabad,28.6692,77.4538
city_Gurgaon,city_center,Gurgaon,28.4595,77.0266
city_Noida,city_center,Noida,28.5355,77.391
hotspot_Anand_Vihar,hotspot,Anand Vihar,28.6469,77.3152
hotspot_Rohini,hotspot,Rohini,28.7495,77.0565
